language,mode,version,framework,framework_flavor,framework_version,concurrency,path,rps_median,rps_p99,latency_median,latency_p99,memory_median,memory_p99,errors
Dart,AOT,2.14,HttpServer,Default,1,32,dart/httpserver-aot-2.14,6117,5988,4566,17406,47280291,48695869,0
Dart,AOT,2.14,Shelf,Default,1,32,dart/shelf-1-aot-2.14,5324,5151,5252,18216,45885685,46504345,0
Dart,AOT,2.15,HttpServer,Default,1,32,dart/httpserver-aot-2.14,6198,6059,4486,17644,44868567,45759856,0
Dart,AOT,2.15,Shelf,Default,1,32,dart/shelf-1-aot-2.14,5334,5163,5240,17897,45246054,46252687,0
Dart,AOT,2.16,HttpServer,Default,1,32,dart/httpserver-aot-2.14,6267,6029,4466,17451,44889538,45665484,0
Dart,AOT,2.16,Shelf,Default,1,32,dart/shelf-1-aot-2.14,5328,5182,5258,17954,45183139,45917143,0
Dart,AOT,2.17,HttpServer,Default,1,32,dart/httpserver-aot-2.14,6288,6131,4458,17449,44753223,45728399,0
Dart,AOT,2.17,Shelf,Default,1,32,dart/shelf-1-aot-2.14,5339,5246,5217,17992,44522536,45403340,0
Dart,AOT,2.18,HttpServer,Default,1,32,dart/httpserver-aot-2.14,6353,6163,4460,16212,19094568,20761804,0
Dart,AOT,2.18,Shelf,Default,1,32,dart/shelf-1-aot-2.14,5520,5436,5086,17815,19440599,19870515,0
Dart,AOT,2.19,HttpServer,Default,1,32,dart/httpserver-aot-2.14,6492,6415,4375,15831,19797114,20772290,0
Dart,AOT,2.19,Shelf,Default,1,32,dart/shelf-1-aot-2.14,5505,5420,5088,17583,19188940,20541603,0
Dart,AOT,3.0,HttpServer,Default,1,32,dart/httpserver-aot-2.14,6631,6415,4293,15307,20206059,21328035,0
Dart,AOT,3.0,Shelf,Default,1,32,dart/shelf-1-aot-2.14,5637,5569,4968,17706,19891486,20625489,0
Dart,AOT,3.1,HttpServer,Default,1,32,dart/httpserver-aot-2.14,6604,6490,4305,15484,16326328,19220398,0
Dart,AOT,3.1,Shelf,Default,1,32,dart/shelf-1-aot-2.14,5578,5466,5026,18522,16263413,17783848,0
